"Count","Name"
"2","D:\projects\admin-dashboard\app\(admin)\products\components\ProductBadges.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\SummaryCard.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryTable.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\hospice\page.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospiceSystemStats.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\reports\analytics\components\AnalyticsStatGrid.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\products\page.tsx"
"2","D:\projects\admin-dashboard\app\(admin)\products\components\ProductThumb.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\orders\components\ImportPanel.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryPills.tsx"
"1","D:\projects\admin-dashboard\app\components\admin\AdminSystemAlerts.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryTableRow.tsx"
"1","D:\projects\admin-dashboard\app\components\reports\ReportsKpiCards.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\command-center\components\EmptyState.tsx"
"1","D:\projects\admin-dashboard\app\components\reports\ReportUploadCard.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditList.tsx"
"1","D:\projects\admin-dashboard\app\components\ui\PrimaryButton.tsx"
"1","D:\projects\admin-dashboard\app\components\reports\OpenUploadCenterButton.tsx"
"1","D:\projects\admin-dashboard\app\components\barcode-scanner\components\ScannerModeButton.tsx"
"1","D:\projects\admin-dashboard\app\login\page.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\FilterSelect.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\command-center\components\MiniCard.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\command-center\utils\commandCenterFormat.ts"
"1","D:\projects\admin-dashboard\app\(admin)\settings\components\danger\ResetCard.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\wip\wip-constants.ts"
"1","D:\projects\admin-dashboard\app\(admin)\reports\hospice\hospice-utils.ts"
"1","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospicePatientCard.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\settings\components\shared\StatusPill.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\insurance\page.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadDropzone.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadHero.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipFilters.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\StatusBadge.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadAccessGate.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\orders\components\SmartReviewBadges.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\users\page.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersTabs.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\orders\components\OrderModal.tsx"
"1","D:\projects\admin-dashboard\app\components\admin\AdminPageHeader.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalActions.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\components\UploadRuleCard.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\hospice\components\HospiceHero.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\settings\components\TabBar.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalTableRow.tsx"
"1","D:\projects\admin-dashboard\app\(admin)\reports\analytics\components\AnalyticsHealthBanner.tsx"
